Participant	Frame	Preview	Sign	Pre_Target_Skip	FFD_ms	GD_ms	TRT_ms	Reading_Scores	AOA	Group
2	47	UNR	Unrelated	0	183	183	443	387	0	Deaf
2	48	COR	Identical	1	190	190	190	387	0	Deaf
2	49	SIGN	HM	1	116	116	116	387	0	Deaf
2	50	UNR	Unrelated	0	261	423	534	387	0	Deaf
2	51	COR	Identical	0	266	266	577	387	0	Deaf
2	52	SIGN	HM	0	121	121	121	387	0	Deaf
2	53	UNR	Unrelated	0	193	193	193	387	0	Deaf
2	54	COR	Identical	0	170	170	170	387	0	Deaf
2	55	SIGN	HM	0	192	192	623	387	0	Deaf
2	56	UNR	Unrelated	0	331	331	595	387	0	Deaf
2	57	COR	Identical	0	175	175	175	387	0	Deaf
2	58	SIGN	HM	1	307	307	672	387	0	Deaf
2	59	UNR	Unrelated	0	115	115	258	387	0	Deaf
2	60	COR	Identical	1	157	157	157	387	0	Deaf
2	61	SIGN	HLM	0	21	739	739	387	0	Deaf
2	62	UNR	Unrelated	0	356	356	677	387	0	Deaf
2	63	COR	Identical	0	238	238	290	387	0	Deaf
2	64	SIGN	HLM	0	294	294	370	387	0	Deaf
2	65	UNR	Unrelated	0	236	236	306	387	0	Deaf
2	66	COR	Identical	1	271	271	759	387	0	Deaf
2	67	SIGN	HLM	0	129	129	763	387	0	Deaf
2	68	UNR	Unrelated	0	205	205	370	387	0	Deaf
2	69	COR	Identical	1	213	213	347	387	0	Deaf
2	70	SIGN	HLM	0	409	409	911	387	0	Deaf
2	71	UNR	Unrelated	0	254	254	254	387	0	Deaf
2	72	COR	Identical	0	222	222	306	387	0	Deaf
2	73	SIGN	LM	0	460	460	460	387	0	Deaf
2	74	UNR	Unrelated	0	214	214	534	387	0	Deaf
2	75	COR	Identical	0	286	286	370	387	0	Deaf
2	76	SIGN	HLM	1	218	218	218	387	0	Deaf
2	77	UNR	Unrelated	0	148	148	148	387	0	Deaf
2	78	COR	Identical	0	81	81	81	387	0	Deaf
2	79	SIGN	HL	0	194	194	194	387	0	Deaf
2	80	UNR	Unrelated	0	237	237	499	387	0	Deaf
3	1	COR	Identical	0	168	168	490	280	7	Deaf
3	2	SIGN	LM	0	243	243	243	280	7	Deaf
3	3	UNR	Unrelated	0	272	437	609	280	7	Deaf
3	4	COR	Identical	0	156	156	2907	280	7	Deaf
3	5	SIGN	LM	0	415	415	415	280	7	Deaf
3	6	UNR	Unrelated	1	230	230	842	280	7	Deaf
3	7	COR	Identical	0	128	128	705	280	7	Deaf
3	8	SIGN	LM	0	130	130	130	280	7	Deaf
3	9	UNR	Unrelated	0	382	382	382	280	7	Deaf
3	10	COR	Identical	0	241	241	1843	280	7	Deaf
3	11	SIGN	LM	0	320	320	643	280	7	Deaf
3	12	UNR	Unrelated	0	196	879	1116	280	7	Deaf
3	13	COR	Identical	0	168	309	1464	280	7	Deaf
3	14	SIGN	LM	0	246	331	1295	280	7	Deaf
3	15	UNR	Unrelated	0	224	224	818	280	7	Deaf
3	16	COR	Identical	0	132	132	971	280	7	Deaf
3	17	SIGN	LM	0	269	425	1027	280	7	Deaf
3	18	UNR	Unrelated	0	155	155	1449	280	7	Deaf
3	19	COR	Identical	0	150	150	435	280	7	Deaf
3	20	SIGN	LM	0	135	135	1226	280	7	Deaf
3	21	UNR	Unrelated	0	262	262	1019	280	7	Deaf
3	22	COR	Identical	0	259	406	2582	280	7	Deaf
3	23	SIGN	HL	0	212	212	858	280	7	Deaf
3	24	UNR	Unrelated	0	NA	NA	0	280	7	Deaf
3	25	COR	Identical	0	259	259	1828	280	7	Deaf
3	26	SIGN	HL	0	197	197	709	280	7	Deaf
3	27	UNR	Unrelated	0	186	186	443	280	7	Deaf
3	28	COR	Identical	0	206	206	571	280	7	Deaf
3	29	SIGN	HL	0	179	179	1216	280	7	Deaf
3	30	UNR	Unrelated	1	304	487	651	280	7	Deaf
3	31	COR	Identical	0	303	303	303	280	7	Deaf
3	32	SIGN	HL	0	219	219	219	280	7	Deaf
3	33	UNR	Unrelated	0	294	477	708	280	7	Deaf
3	34	COR	Identical	0	149	149	149	280	7	Deaf
3	35	SIGN	HL	0	254	254	766	280	7	Deaf
3	36	UNR	Unrelated	0	204	204	1916	280	7	Deaf
3	37	COR	Identical	0	137	137	1142	280	7	Deaf
3	38	SIGN	HL	1	177	177	483	280	7	Deaf
3	39	UNR	Unrelated	0	139	139	312	280	7	Deaf
3	40	COR	Identical	0	207	207	520	280	7	Deaf
3	41	SIGN	HM	0	362	362	1142	280	7	Deaf
